event,time,hopform,hopto,from,to,,id,length
#29175,303.7042644,0," 1	",0,1,303,2998,277 bytes
#29182,303.7310591,6," 5	",6,1,275,2999,824 bytes
#29185,303.7362972,6," 8	",6,8,276,3000,638 bytes
#29207,303.8455524,4," 8	",4,8,289,3002,301 bytes
#29214,303.884752,2," 4	",2,8,296,3003,881 bytes
#29225,303.9237396,6," 8	",6,8,278,3004,777 bytes
#29232,303.9782365,5," 6	",5,8,317,3005,151 bytes
#29243,303.9904532,2," 4	",2,6,297,3006,594 bytes
#29254,304.1518254,0," 5	",0,6,304,3007,747 bytes
#29265,304.2250847,9," 6	",9,1,304,3008,604 bytes
#29269,304.2299167,9," 6	",9,6,305,3009,905 bytes
#29291,304.4946353,0," 2	",0,8,305,3010,538 bytes
#29306,304.5143659,6," 5	",6,1,279,3011,392 bytes
#29321,304.527677,6," 5	",6,1,280,3012,770 bytes
#29336,304.5670753,0," 2	",0,8,306,3013,289 bytes
#29351,304.6015838,1," 2	",1,6,304,3014,488 bytes
#29362,304.6119511,9," 6	",9,1,306,3015,1006 bytes
#29385,304.7052112,4," 2	",4,1,290,3016,600 bytes
#29396,304.7334959,3," 4	",3,8,258,3017,292 bytes
#29407,304.8240673,8," 6	",8,6,309,3018,647 bytes
#29414,304.8640301,7," 6	",7,8,297,3019,825 bytes
#29425,304.9425893,0," 1	",0,1,307,3020,833 bytes
#29432,305.0283705,0," 2	",0,8,308,3021,607 bytes
#29435,305.0329263,8," 6	",8,6,310,3022,856 bytes
#29454,305.1394947,2," 4	",2,6,298,3023,167 bytes
#29468,305.2651273,8," 4	",8,1,311,3025,227 bytes
#29483,305.3846368,7," 5	",7,1,298,3026,1021 bytes
#29498,305.4537492,4," 2	",4,1,291,3027,786 bytes
#29515,305.7108896,4," 8	",4,8,292,3030,574 bytes
#29525,305.817896,7," 5	",7,1,299,3032,197 bytes
#29540,305.9261902,3," 4	",3,8,259,3033,223 bytes
#29551,306.2751023,4," 2	",4,1,293,3034,151 bytes
#29565,306.348287,8," 6	",8,6,315,3036,739 bytes
#29572,306.3987923,7," 6	",7,6,300,3037,359 bytes
#29579,306.4676562,9," 6	",9,1,307,3038,858 bytes
#29598,306.5130033,6," 8	",6,8,282,3039,899 bytes
#29608,307.0108484,4," 6	",4,6,294,3041,559 bytes
#29615,307.3122811,4," 6	",4,6,295,3042,713 bytes
#29622,307.3328343,4," 8	",4,8,296,3043,928 bytes
#29629,307.4276056,6," 5	",6,1,283,3044,638 bytes
#29644,307.4646661,3," 1	",3,1,260,3045,511 bytes
#29651,307.6077824,3," 4	",3,8,261,3046,556 bytes
#29662,308.1106865,8," 4	",8,1,317,3047,604 bytes
#29677,308.4154606,6," 5	",6,1,284,3048,311 bytes
#29695,308.4614499,0," 5	",0,6,309,3050,832 bytes
#29706,308.5774898,9," 6	",9,1,308,3051,696 bytes
#29725,308.7352928,7," 5	",7,1,301,3052,368 bytes
#29732,308.7419502,5," 6	",5,6,318,3053,509 bytes
#29747,308.9227787,4," 2	",4,1,297,3054,372 bytes
#29758,308.9329568,8," 6	",8,6,318,3055,379 bytes
#29765,308.9572695,1," 2	",1,6,306,3056,179 bytes
#29780,308.9866704,4," 6	",4,6,298,3057,925 bytes
#29787,309.0643775,7," 6	",7,8,302,3058,194 bytes
#29798,309.2613811,0," 5	",0,6,310,3059,454 bytes
#29809,309.3023565,6," 5	",6,1,286,3060,678 bytes
#29824,309.5709913,7," 6	",7,6,303,3061,465 bytes
#29831,309.6571847,4," 8	",4,8,299,3062,923 bytes
#29838,309.7304089,3," 1	",3,1,262,3063,702 bytes
#29845,309.7999877,6," 5	",6,1,287,3064,859 bytes
#29860,309.8589399,0," 5	",0,6,311,3065,220 bytes
#29871,309.8849093,0," 2	",0,8,312,3066,464 bytes
#29886,309.9094307,7," 5	",7,1,304,3067,153 bytes
#29901,309.9528326,6," 8	",6,8,288,3068,767 bytes
#29908,310.0269714,3," 4	",3,6,263,3069,319 bytes
#29919,310.130195,8," 6	",8,6,319,3070,549 bytes
#29926,310.221909,1," 2	",1,6,307,3071,652 bytes
#29941,310.2533644,8," 4	",8,1,320,3072,776 bytes
#29956,310.4149469,7," 5	",7,1,305,3073,568 bytes
#29974,310.9440936,1," 2	",1,8,309,3075,938 bytes
#29989,311.0482466,2," 1	",2,1,299,3076,991 bytes
#29996,311.269442,9," 6	",9,1,309,3077,578 bytes
#30011,311.2884651,6," 5	",6,1,289,3078,298 bytes
#30030,311.3155316,5," 6	",5,8,319,3079,588 bytes
#30037,311.3228369,8," 6	",8,6,321,3080,519 bytes
#30048,311.3627913,6," 8	",6,8,290,3081,356 bytes
#30055,311.3891772,5," 0	",5,1,320,3082,204 bytes
#30066,311.4708932,5," 6	",5,6,321,3083,694 bytes
#30073,311.536725,2," 1	",2,1,300,3084,212 bytes
#30080,311.5440125,9," 6	",9,1,310,3085,252 bytes
#30099,311.5578078,9," 6	",9,6,311,3086,240 bytes
#30106,311.7635551,9," 8	",9,8,312,3087,403 bytes
#30113,311.8381923,3," 4	",3,8,264,3088,577 bytes
#30124,311.9234908,4," 2	",4,1,300,3089,544 bytes
#30135,311.9570229,8," 6	",8,6,322,3090,640 bytes
#30142,312.1371203,9," 6	",9,6,313,3091,309 bytes
#30149,312.3940468,1," 2	",1,6,310,3092,172 bytes
#30164,312.4280197,9," 6	",9,6,314,3093,231 bytes
#30171,312.4988437,5," 6	",5,6,322,3094,652 bytes
#30178,312.5723373,9," 6	",9,6,315,3095,436 bytes
#30185,312.5945139,5," 6	",5,8,323,3096,439 bytes
#30196,312.6381896,8," 6	",8,6,323,3097,456 bytes
#30206,312.9224206,2," 4	",2,6,301,3099,542 bytes
#30217,313.4667901,4," 2	",4,1,301,3100,177 bytes
#30228,313.5565704,5," 6	",5,8,324,3101,740 bytes
#30239,313.7221169,3," 4	",3,8,265,3102,610 bytes
#30250,313.9881543,9," 8	",9,8,316,3103,692 bytes
#30257,314.0577926,7," 6	",7,8,306,3104,399 bytes
#30268,314.148106,9," 8	",9,8,317,3105,311 bytes
#30275,314.2663391,3," 4	",3,8,266,3106,780 bytes
#30286,314.5170356,5," 6	",5,8,325,3107,183 bytes
#30297,314.5592734,3," 1	",3,1,267,3108,514 bytes
#30304,314.6691778,3," 4	",3,8,268,3109,793 bytes
#30315,314.9234705,6," 8	",6,8,292,3110,494 bytes
#30322,314.9767917,7," 6	",7,6,307,3111,761 bytes
#30329,315.0078844,1," 2	",1,8,311,3112,769 bytes
#30344,315.670681,6," 5	",6,1,293,3113,748 bytes
#30359,315.7484501,5," 0	",5,1,326,3114,443 bytes
#30370,315.8939761,1," 2	",1,8,312,3115,339 bytes
#30385,315.9231683,4," 8	",4,8,302,3116,418 bytes
#30392,316.0673776,3," 1	",3,1,269,3117,703 bytes
#30399,316.1409638,3," 4	",3,6,270,3118,697 bytes
#30410,316.3290256,5," 6	",5,6,327,3119,903 bytes
#30417,316.4982175,7," 5	",7,1,308,3120,479 bytes
#30432,316.5500282,0," 1	",0,1,313,3121,179 bytes
#30439,316.7352699,6," 8	",6,8,294,3122,917 bytes
#30446,316.7552435,9," 6	",9,1,318,3123,689 bytes
#30465,316.7824811,6," 8	",6,8,295,3124,160 bytes
#30472,316.8473697,0," 1	",0,1,314,3125,509 bytes
#30479,316.9598729,6," 5	",6,1,296,3126,496 bytes
#30494,317.0052044,5," 6	",5,8,328,3127,893 bytes
#30505,317.2461929,3," 4	",3,6,271,3128,995 bytes
#30516,317.3282696,4," 2	",4,1,303,3129,636 bytes
#30527,317.5782468,3," 1	",3,1,272,3130,739 bytes
#30534,317.8005486,6," 8	",6,8,297,3131,311 bytes
#30541,317.9825107,7," 5	",7,1,309,3132,419 bytes
#30556,318.0767378,8," 4	",8,1,324,3133,953 bytes
#30567,318.0965359,0," 1	",0,1,315,3134,1001 bytes
#30571,318.1017672,5," 6	",5,6,329,3135,495 bytes
#30585,318.1717646,3," 4	",3,8,273,3136,199 bytes
#30596,318.2543244,1," 2	",1,6,313,3137,607 bytes
#30611,318.305214,0," 5	",0,6,316,3138,231 bytes
#30622,318.4759385,3," 4	",3,6,274,3139,763 bytes
#30633,318.5025698,0," 2	",0,8,317,3140,456 bytes
#30648,318.5871212,5," 6	",5,8,330,3141,330 bytes
#30659,318.5999098,3," 1	",3,1,275,3142,946 bytes
#30666,318.6442483,5," 6	",5,6,331,3143,350 bytes
#30673,318.7449582,0," 2	",0,8,318,3144,427 bytes
#30691,318.8504638,2," 4	",2,8,302,3146,566 bytes
#30705,318.9326962,8," 6	",8,6,325,3148,829 bytes
#30712,319.0874928,2," 4	",2,6,303,3149,582 bytes
#30726,319.3335319,2," 1	",2,1,304,3151,651 bytes
#30733,319.3473391,7," 6	",7,8,310,3152,533 bytes
#30744,319.4029664,6," 8	",6,8,299,3153,778 bytes
#30751,319.4592106,0," 2	",0,8,319,3154,502 bytes
#30766,319.5272823,9," 8	",9,8,319,3155,993 bytes
#30773,319.6501952,7," 6	",7,6,311,3156,350 bytes
#30780,319.6875919,4," 8	",4,8,304,3157,376 bytes
#30787,319.7352099,4," 2	",4,1,305,3158,471 bytes
#30798,319.807814,2," 1	",2,1,305,3159,811 bytes
#30805,319.8536229,7," 6	",7,6,312,3160,202 bytes
#30812,319.959067,7," 6	",7,8,313,3161,341 bytes
#30823,320.0456715,1," 2	",1,8,315,3162,329 bytes
#30838,320.0790478,0," 1	",0,1,320,3163,943 bytes
#30845,320.1536905,2," 4	",2,8,306,3164,558 bytes
#30856,320.2969226,6," 5	",6,1,300,3165,838 bytes
#30871,320.3372211,9," 6	",9,1,320,3166,648 bytes
#30874,320.3414672,6," 5	",6,1,301,3167,329 bytes
#30901,320.3580662,5," 6	",5,6,332,3168,372 bytes
#30912,320.373289,3," 4	",3,8,276,3169,283 bytes
#30923,320.3854822,3," 4	",3,8,277,3170,927 bytes
#30934,320.4103294,5," 6	",5,6,333,3171,708 bytes
#30941,320.4624137,8," 4	",8,1,327,3172,768 bytes
#30944,320.4644277,8," 6	",8,6,328,3173,1019 bytes
#30963,320.6045455,5," 0	",5,1,334,3174,231 bytes
#30974,320.9096749,2," 4	",2,6,307,3175,476 bytes
#30985,321.0752207,6," 8	",6,8,302,3176,868 bytes
#30992,321.1067985,2," 1	",2,1,308,3177,271 bytes
#30995,321.1072435,8," 6	",8,6,329,3178,621 bytes
#31006,321.1407551,9," 6	",9,6,321,3179,579 bytes
#31016,321.1934645,2," 4	",2,6,309,3181,408 bytes
#31027,321.2849641,1," 2	",1,8,317,3182,959 bytes
#31042,321.4558368,4," 6	",4,6,306,3183,376 bytes
#31052,321.8663965,2," 4	",2,8,310,3185,774 bytes
#31063,322.0216612,1," 2	",1,6,318,3186,968 bytes
#31078,322.2348429,7," 6	",7,8,314,3187,373 bytes
#31089,322.3582422,2," 4	",2,8,311,3188,805 bytes
#31100,322.4647768,5," 6	",5,6,335,3189,721 bytes
#31107,322.4942398,2," 4	",2,8,312,3190,968 bytes
#31118,322.5291144,1," 2	",1,6,319,3191,221 bytes
#31133,322.6956473,3," 4	",3,8,278,3192,459 bytes
#31147,322.9566439,3," 4	",3,6,279,3194,153 bytes
#31158,323.0528733,5," 6	",5,6,336,3195,524 bytes
#31168,323.1423141,1," 2	",1,6,321,3197,915 bytes
#31183,323.1685713,8," 6	",8,6,331,3198,162 bytes
#31190,323.1792269,3," 4	",3,8,280,3199,149 bytes
#31193,323.1798298,5," 0	",5,1,337,3200,326 bytes
#31212,323.2774702,3," 4	",3,8,281,3201,745 bytes
#31226,323.4087171,8," 6	",8,6,332,3203,670 bytes
#31233,323.4199465,2," 4	",2,8,313,3204,756 bytes
#31244,323.5440771,1," 2	",1,8,323,3205,360 bytes
#31259,323.5927304,7," 6	",7,6,315,3206,937 bytes
#31266,323.6760404,4," 2	",4,1,307,3207,163 bytes
#31277,323.8319089,5," 6	",5,6,338,3208,573 bytes
#31284,323.8462556,7," 6	",7,8,316,3209,688 bytes
#31295,323.9355303,4," 6	",4,6,308,3210,146 bytes
#31302,323.9572014,5," 6	",5,8,339,3211,453 bytes
#31313,324.0609466,4," 6	",4,6,309,3212,964 bytes
#31320,324.1487364,4," 8	",4,8,310,3213,805 bytes
#31330,324.1859076,3," 4	",3,6,282,3215,175 bytes
#31341,324.3360706,3," 4	",3,6,283,3216,395 bytes
#31352,324.4762687,5," 6	",5,8,340,3217,230 bytes
#31363,324.50515,3," 4	",3,6,284,3218,945 bytes
#31377,324.7317431,7," 6	",7,8,317,3220,668 bytes
#31384,324.741873,2," 1	",2,1,314,3221,428 bytes
#31395,325.0440641,6," 8	",6,8,305,3222,160 bytes
#31402,325.0895369,6," 5	",6,1,306,3223,776 bytes
#31417,325.3756384,4," 8	",4,8,311,3224,802 bytes
#31424,325.5840806,2," 4	",2,8,315,3225,217 bytes
#31435,325.5980043,8," 6	",8,6,334,3226,504 bytes
#31442,325.6796696,7," 5	",7,1,318,3227,808 bytes
#31460,325.8693166,4," 6	",4,6,312,3229,191 bytes
#31467,325.9983234,5," 6	",5,8,341,3230,905 bytes
#31478,326.1920986,5," 6	",5,8,342,3231,513 bytes
#31481,326.1928584,9," 6	",9,1,322,3232,664 bytes
#31497,326.204436,0," 5	",0,6,321,3233,582 bytes
#31519,326.2376032,0," 1	",0,1,322,3234,616 bytes
#31526,326.5164655,5," 0	",5,1,343,3235,258 bytes
#31537,326.5549044,2," 4	",2,6,316,3236,847 bytes
#31548,326.5819364,6," 8	",6,8,307,3237,991 bytes
#31555,327.0481911,1," 2	",1,8,324,3238,815 bytes
#31570,327.0970157,9," 8	",9,8,323,3239,720 bytes
#31577,327.2364358,2," 4	",2,8,317,3240,629 bytes
#31588,327.3097829,9," 8	",9,8,324,3241,909 bytes
#31595,327.5455604,5," 0	",5,1,344,3242,584 bytes
#31606,327.5668153,1," 2	",1,6,325,3243,149 bytes
#31621,327.5769606,3," 4	",3,6,285,3244,521 bytes
#31638,327.8479302,9," 6	",9,6,325,3247,825 bytes
#31645,327.9217705,2," 4	",2,8,318,3248,812 bytes
#31656,328.0042693,2," 4	",2,6,319,3249,935 bytes
#31667,328.2070086,7," 6	",7,8,319,3250,487 bytes
#31670,328.2092034,2," 4	",2,6,320,3251,985 bytes
#31692,328.3983459,0," 1	",0,1,323,3253,548 bytes
#31699,328.4674664,9," 6	",9,1,326,3254,339 bytes
#31706,328.4730164,1," 2	",1,8,326,3255,693 bytes
#31733,328.5418361,9," 6	",9,1,327,3256,157 bytes
#31755,328.6408964,7," 6	",7,6,320,3258,183 bytes
#31762,328.8059733,7," 6	",7,8,321,3259,354 bytes
#31769,328.8102104,4," 2	",4,1,313,3260,861 bytes
#31784,328.8303362,2," 1	",2,1,321,3261,238 bytes
#31791,329.1202956,1," 2	",1,8,328,3262,1023 bytes
#31798,329.1348872,5," 0	",5,1,345,3263,982 bytes
#31817,329.2551215,0," 1	",0,1,324,3264,830 bytes
#31824,329.418695,3," 1	",3,1,286,3265,270 bytes
#31831,329.4950833,9," 8	",9,8,328,3266,643 bytes
#31838,329.5684544,4," 8	",4,8,314,3267,714 bytes
#31845,329.9339491,9," 6	",9,1,329,3268,274 bytes
#31864,329.9849864,8," 4	",8,1,339,3269,412 bytes
#31879,330.0093878,6," 5	",6,1,308,3270,392 bytes
#31897,330.2083604,0," 1	",0,1,325,3272,818 bytes
#31904,330.4386597,0," 5	",0,6,326,3273,365 bytes
#31907,330.4406139,2," 4	",2,6,322,3274,969 bytes
#31926,330.8165868,9," 6	",9,6,330,3275,409 bytes
#31933,330.9460226,2," 1	",2,1,323,3276,505 bytes
#31940,331.0394907,4," 2	",4,1,315,3277,306 bytes
#31951,331.0856645,0," 5	",0,6,327,3278,446 bytes
#31962,331.156184,6," 5	",6,1,310,3279,612 bytes
#31977,331.2978806,2," 4	",2,6,324,3280,552 bytes
#31988,331.3111603,3," 4	",3,6,287,3281,441 bytes
#31999,331.4120776,7," 6	",7,6,322,3282,276 bytes
#32006,331.4819721,1," 2	",1,8,329,3283,1019 bytes
#32021,331.6110267,5," 6	",5,8,346,3284,361 bytes
#32041,331.9844472,0," 2	",0,8,328,3288,847 bytes
#32056,332.2752654,7," 6	",7,8,323,3289,149 bytes
#32067,332.4072201,7," 6	",7,6,324,3290,978 bytes
#32074,332.5371879,0," 5	",0,6,329,3291,319 bytes
#32085,332.561221,5," 6	",5,8,347,3292,892 bytes
#32096,332.8404899,2," 4	",2,8,325,3293,553 bytes
#32107,332.9986185,9," 6	",9,1,331,3294,1011 bytes
#32126,333.088606,3," 4	",3,6,288,3295,959 bytes
#32129,333.0894571,3," 1	",3,1,289,3296,735 bytes
#32144,333.1499728,6," 8	",6,8,312,3297,328 bytes
#32151,333.2333804,1," 2	",1,6,331,3298,798 bytes
#32154,333.2392839,5," 6	",5,8,348,3299,732 bytes
#32177,333.2909537,1," 2	",1,8,332,3300,800 bytes
#32192,333.3433979,9," 6	",9,1,332,3301,708 bytes
#32211,333.8217299,7," 6	",7,8,325,3302,610 bytes
#32225,333.9551756,2," 1	",2,1,326,3304,595 bytes
#32232,334.0091308,3," 4	",3,8,290,3305,214 bytes
#32243,334.1115495,5," 0	",5,1,349,3306,309 bytes
#32254,334.1540926,8," 4	",8,1,341,3307,509 bytes
#32269,334.2086237,7," 6	",7,6,326,3308,190 bytes
#32276,334.215921,7," 5	",7,1,327,3309,632 bytes
#32291,334.3600514,3," 4	",3,6,291,3310,453 bytes
#32302,334.5770971,2," 4	",2,8,327,3311,283 bytes
#32316,334.7230213,5," 6	",5,6,350,3313,653 bytes
#32323,334.7382959,4," 6	",4,6,316,3314,458 bytes
#32330,334.920846,6," 8	",6,8,314,3315,738 bytes
#32337,334.9493801,0," 2	",0,8,330,3316,521 bytes
#32355,335.1847015,2," 4	",2,8,328,3318,902 bytes
#32369,335.2720089,5," 0	",5,1,351,3320,406 bytes
#32380,335.4151743,0," 2	",0,8,331,3321,419 bytes
#32395,335.502958,2," 4	",2,8,329,3322,800 bytes
#32406,335.6026889,1," 2	",1,6,334,3323,440 bytes
#32427,335.7587023,7," 6	",7,8,328,3326,237 bytes
#32438,335.9073794,9," 8	",9,8,333,3327,928 bytes
#32445,335.9158183,7," 5	",7,1,329,3328,918 bytes
#32463,335.9408573,5," 6	",5,6,352,3330,136 bytes
#32470,335.9950892,7," 5	",7,1,330,3331,865 bytes
#32488,336.1389411,7," 6	",7,6,331,3333,366 bytes
#32495,336.1779793,4," 6	",4,6,317,3334,700 bytes
#32502,336.2832185,9," 6	",9,6,334,3335,561 bytes
#32509,336.4290618,8," 6	",8,6,344,3336,1011 bytes
#32519,336.6687792,6," 8	",6,8,319,3338,991 bytes
#32526,336.8155608,1," 2	",1,6,336,3339,964 bytes
#32533,336.8268132,9," 8	",9,8,335,3340,345 bytes
#32548,336.8684562,3," 4	",3,8,292,3341,286 bytes
#32559,337.1014779,0," 1	",0,1,332,3342,412 bytes
#32566,337.2154578,9," 8	",9,8,336,3343,904 bytes
#32573,337.3162311,9," 6	",9,6,337,3344,625 bytes
#32580,337.4389602,8," 4	",8,1,345,3345,884 bytes
#32598,337.7904316,9," 8	",9,8,338,3347,914 bytes
#32605,337.8173898,5," 0	",5,1,353,3348,155 bytes
#32616,337.8916229,1," 2	",1,8,338,3349,503 bytes
#32623,337.898993,5," 6	",5,8,354,3350,334 bytes
#32642,338.1332931,1," 2	",1,6,339,3351,852 bytes
#32660,338.3466851,4," 6	",4,6,318,3353,1010 bytes
#32667,338.4374069,7," 6	",7,6,332,3354,505 bytes
#32674,338.4959229,2," 1	",2,1,330,3355,993 bytes
#32681,338.5270745,3," 4	",3,8,293,3356,515 bytes
#32692,338.6210725,7," 5	",7,1,333,3357,357 bytes
#32707,338.7686535,0," 1	",0,1,333,3358,607 bytes
#32717,338.8480613,5," 0	",5,1,355,3360,823 bytes
#32728,339.3120334,2," 4	",2,8,331,3361,466 bytes
#32739,339.3963084,6," 5	",6,1,320,3362,716 bytes
#32754,339.5007602,5," 6	",5,8,356,3363,651 bytes
#32765,339.5518908,1," 2	",1,8,341,3364,752 bytes
#32780,339.609569,7," 6	",7,6,334,3365,545 bytes
#32783,339.611263,0," 5	",0,6,334,3366,439 bytes
#32798,339.8542448,2," 1	",2,1,332,3367,589 bytes
#32805,339.9138392,8," 6	",8,6,347,3368,557 bytes
#32815,340.0638519,1," 2	",1,6,342,3370,757 bytes
#32830,340.2896997,4," 8	",4,8,319,3371,875 bytes
#32837,340.4359937,9," 8	",9,8,339,3372,477 bytes
#32844,340.5849564,0," 1	",0,1,335,3373,558 bytes
#32851,340.7253428,8," 6	",8,6,348,3374,937 bytes
#32861,340.7476119,6," 5	",6,1,322,3376,984 bytes
#32876,340.846645,7," 6	",7,8,335,3377,848 bytes
#32887,340.8822417,3," 1	",3,1,294,3378,974 bytes
#32894,340.9433403,3," 4	",3,8,295,3379,701 bytes
#32905,340.9830759,7," 6	",7,8,336,3380,616 bytes
#32916,341.0755903,6," 5	",6,1,323,3381,177 bytes
#32931,341.2317273,2," 4	",2,8,333,3382,664 bytes
#32942,341.3836044,9," 8	",9,8,340,3383,645 bytes
#32949,341.4677276,4," 6	",4,6,320,3384,423 bytes
#32956,341.6061832,8," 4	",8,1,349,3385,870 bytes
#32959,341.6083397,4," 6	",4,6,321,3386,958 bytes
#32978,341.681394,2," 1	",2,1,334,3387,915 bytes
#32985,341.8191308,9," 6	",9,1,341,3388,261 bytes
#33004,341.9690477,2," 4	",2,8,335,3389,660 bytes
#33015,341.9869155,4," 6	",4,6,322,3390,661 bytes
#33022,342.0304872,9," 8	",9,8,342,3391,409 bytes
#33029,342.1553219,0," 5	",0,6,336,3392,708 bytes
#33040,342.2833478,4," 8	",4,8,323,3393,372 bytes
#33050,342.3957921,3," 4	",3,6,296,3395,435 bytes
#33061,342.4980222,6," 5	",6,1,325,3396,363 bytes
#33068,342.5023023,2," 4	",2,8,336,3397,806 bytes
#33087,343.1758234,4," 6	",4,6,324,3398,428 bytes
#33094,343.2311476,7," 6	",7,6,337,3399,543 bytes
#33101,343.2818556,2," 4	",2,8,337,3400,608 bytes
#33112,343.3030248,9," 6	",9,6,343,3401,778 bytes
#33119,343.3649048,0," 1	",0,1,337,3402,243 bytes
#33126,343.5188668,4," 6	",4,6,325,3403,491 bytes
#33136,343.7050358,3," 4	",3,6,297,3405,775 bytes
#33143,343.7129338,3," 1	",3,1,298,3406,816 bytes
#33154,343.7576344,3," 1	",3,1,299,3407,437 bytes
#33161,343.9107556,5," 6	",5,8,357,3408,682 bytes
#33172,344.0035237,9," 6	",9,1,344,3409,770 bytes
#33183,344.0195488,5," 6	",5,6,358,3410,268 bytes
#33198,344.1332102,4," 6	",4,6,326,3411,480 bytes
#33205,344.2842498,4," 8	",4,8,327,3412,957 bytes
#33215,344.4952016,5," 0	",5,1,359,3414,597 bytes
#33226,344.5863779,2," 4	",2,8,338,3415,684 bytes
#33237,344.6059957,6," 5	",6,1,327,3416,330 bytes
#33255,344.6970065,9," 6	",9,6,345,3418,370 bytes
#33262,344.7296073,5," 0	",5,1,360,3419,961 bytes
#33276,344.8152617,2," 4	",2,8,339,3421,784 bytes
#33287,345.0367757,2," 4	",2,6,340,3422,846 bytes
#33298,345.078246,7," 5	",7,1,338,3423,760 bytes
#33313,345.1413441,1," 2	",1,6,345,3424,549 bytes
#33320,345.1471314,6," 8	",6,8,328,3425,821 bytes
#33338,345.2688842,4," 2	",4,1,328,3427,482 bytes
#33349,345.2902881,7," 6	",7,6,339,3428,639 bytes
#33356,345.3191395,5," 6	",5,8,361,3429,346 bytes
#33367,345.4497604,9," 8	",9,8,346,3430,297 bytes
#33370,345.450641,1," 2	",1,8,346,3431,520 bytes
#33389,345.6283701,9," 8	",9,8,347,3432,446 bytes
#33396,345.6767365,8," 6	",8,6,352,3433,316 bytes
#33403,346.1918925,7," 6	",7,8,340,3434,481 bytes
#33414,346.3785762,2," 4	",2,6,341,3435,206 bytes
#33425,346.4962677,8," 6	",8,6,353,3436,703 bytes
#33432,346.5248355,8," 4	",8,1,354,3437,711 bytes
#33450,346.7255494,2," 4	",2,8,342,3439,207 bytes
#33461,346.815657,3," 4	",3,6,300,3440,872 bytes
#33472,347.1131167,1," 2	",1,8,347,3441,580 bytes
#33487,347.2812508,7," 5	",7,1,341,3442,366 bytes
#33505,347.4830905,4," 8	",4,8,329,3444,802 bytes
#33508,347.4879853,8," 6	",8,6,357,3445,453 bytes
#33519,347.6134892,8," 4	",8,1,358,3446,560 bytes
#33534,347.8186857,9," 8	",9,8,348,3447,915 bytes
#33541,347.9330383,3," 4	",3,6,301,3448,491 bytes
#33552,348.123612,0," 2	",0,8,338,3449,503 bytes
#33567,348.2524802,4," 2	",4,1,330,3450,688 bytes
#33578,348.2879009,2," 4	",2,6,343,3451,197 bytes
#33589,348.293508,0," 5	",0,6,339,3452,422 bytes
#33600,348.3227754,4," 2	",4,1,331,3453,838 bytes
#33611,348.3764361,8," 6	",8,6,359,3454,321 bytes
#33618,348.6077073,3," 4	",3,6,302,3455,1015 bytes
#33629,348.6666016,9," 6	",9,6,349,3456,953 bytes
#33636,348.7304445,4," 8	",4,8,332,3457,372 bytes
#33640,348.7334652,6," 5	",6,1,330,3458,496 bytes
#33658,348.9604689,4," 6	",4,6,333,3459,931 bytes
#33665,349.1193345,7," 6	",7,6,342,3460,879 bytes
#33672,349.2360688,8," 6	",8,6,360,3461,315 bytes
#33679,349.2801978,0," 5	",0,6,340,3462,730 bytes
#33690,349.3340989,8," 4	",8,1,361,3463,460 bytes
#33705,349.358208,9," 6	",9,6,350,3464,227 bytes
#33712,349.9083555,3," 4	",3,8,303,3465,405 bytes
#33723,350.0536642,9," 6	",9,6,351,3466,401 bytes
#33730,350.1085696,6," 5	",6,1,331,3467,665 bytes
#33733,350.1137529,7," 6	",7,6,343,3468,762 bytes
#33752,350.2010383,5," 6	",5,6,362,3469,810 bytes
#33762,350.2793534,7," 6	",7,6,344,3471,1005 bytes
#33769,350.4779261,6," 8	",6,8,333,3472,435 bytes
#33776,350.6701342,1," 2	",1,6,348,3473,978 bytes
#33791,350.7378263,2," 4	",2,8,344,3474,410 bytes
#33802,350.9579876,8," 6	",8,6,362,3475,222 bytes
#33809,350.9778836,7," 6	",7,8,345,3476,806 bytes
#33812,350.9827639,0," 5	",0,6,341,3477,765 bytes
#33831,351.0750861,2," 1	",2,1,345,3478,429 bytes
#33838,351.0870617,6," 8	",6,8,334,3479,217 bytes
#33841,351.0886128,4," 6	",4,6,334,3480,377 bytes
#33852,351.2200797,1," 2	",1,6,349,3481,600 bytes
#33867,351.257257,9," 6	",9,1,352,3482,229 bytes
#33886,351.558343,0," 1	",0,1,342,3483,423 bytes
#33896,351.637162,4," 6	",4,6,335,3485,651 bytes
#33903,351.7222163,0," 2	",0,8,343,3486,141 bytes
#33918,351.8129462,9," 6	",9,6,353,3487,265 bytes
#33925,351.8265397,2," 1	",2,1,346,3488,201 bytes
#33932,351.9042127,0," 5	",0,6,344,3489,1017 bytes
#33943,351.9369125,0," 1	",0,1,345,3490,174 bytes
#33953,352.1494359,6," 5	",6,1,336,3492,869 bytes
#33968,352.2592683,2," 4	",2,8,347,3493,934 bytes
#33979,352.3613114,7," 5	",7,1,346,3494,305 bytes
#33986,352.3663152,4," 6	",4,6,336,3495,774 bytes
#34004,352.5522393,0," 5	",0,6,346,3497,679 bytes
#34015,352.6391556,2," 4	",2,8,348,3498,503 bytes
#34026,352.6487973,9," 6	",9,6,354,3499,810 bytes
#34033,352.8650412,8," 4	",8,1,364,3500,672 bytes
#34048,353.0117908,6," 8	",6,8,338,3501,128 bytes
#34055,353.0822336,6," 5	",6,1,339,3502,486 bytes
#34070,353.2083431,4," 8	",4,8,337,3503,536 bytes
